"Numbers","Your.ID.Number","Institution.Investigator","Def.ID.number","Species","How.Determined","Day","Month","Year","State","site.code","County","date_id","Latitude","Longitude","wkt_lines","How.Located","Host.Env","Which.Host","host_life_stage","host_sex","Which.env","temp_start","humid_start","wind_start","light.start","temp_end","humid_end","wind_end","light_end","temp_avg","humid_avg","wind_avg","light_avg","Life.Stage","Number.of.ticks","Comments","tested","pathogen1_ricketsia","pathogen2_e_chaf","pathogen3_e_ewingii","pathogen4_borrelia","coinfection"
88,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_F1","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","1","","yes","NEG","NEG","NEG","NEG",0
89,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_F2","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
90,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_F3","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
91,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_F4","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
92,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_F5","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","1","","yes","NEG","NEG","NEG","NEG",0
93,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_F6","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","1","","yes","R. amblyommatis","NEG","E. ewingii","NEG",2
94,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_F7","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","1","","yes","NEG","NEG","NEG","NEG",0
95,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_F8","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
96,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_F9","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
97,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_F10","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","1","","yes","R. amblyommatis","NEG","E. ewingii","NEG",2
98,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_F11","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
99,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_M1","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
100,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_M2","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","1","","yes","NEG","NEG","NEG","NEG",0
101,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_M3","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","NEG","NEG","NEG","NEG",0
102,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_M4","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
103,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_M5","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","NEG","NEG","NEG","NEG",0
104,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_M6","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","NEG","NEG","NEG","NEG",0
105,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_M7","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
106,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_M8","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","NEG","E. chaff","NEG","NEG",1
107,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_M9","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","NEG","NEG","NEG","NEG",0
108,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_M10","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","NEG","NEG","NEG","NEG",0
109,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_M11","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
110,"PSU-03APR2021-08","PSU","PSU03APR2021-T13_Ny_NT","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Nymph","15","","no",NA,NA,NA,NA,NA
111,"PSU-03APR2021-09","PSU","PSU03APR2021_F_T14_NT","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","9","","no",NA,NA,NA,NA,NA
112,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_M1","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","NEG","NEG","NEG","NEG",0
113,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_M2","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
114,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_M3","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
115,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_M4","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
116,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_M5","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
117,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_M6","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","NEG","NEG","NEG","NEG",0
118,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_M7","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","Rickettsia sp.","NEG","NEG","NEG",1
119,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_M8","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","NEG","NEG","NEG","NEG",0
120,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_M9","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
121,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_M10","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","NEG","NEG","NEG","B. lonestari",1
122,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_M11","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
123,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_M12","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","R. amblyommatis","NEG","NEG","NEG",1
124,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_M13","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","1","","yes","NEG","NEG","NEG","NEG",0
125,"PSU-03APR2021-09","PSU","PSU03APR2021-T14_Ny_NT","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 14","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Nymph","15","","no",NA,NA,NA,NA,NA
126,"PSU-03APR2021-10","PSU","PSU03APR2021_F_T15_NT","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 15","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","9","","no",NA,NA,NA,NA,NA
127,"PSU-03APR2021-10","PSU","PSU03APR2021_M_T15_NT","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 15","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","7","","no",NA,NA,NA,NA,NA
128,"PSU-03APR2021-10","PSU","PSU03APR2021_T15_Ny_NT","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 15","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Nymph","40","","no",NA,NA,NA,NA,NA
129,"PSU-03APR2021-11","PSU","PSU03APR2021_F_T16_NT","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 16","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Female","8","","no",NA,NA,NA,NA,NA
130,"PSU-03APR2021-11","PSU","PSU03APR2021_M_T16_NT","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 16","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","5","","no",NA,NA,NA,NA,NA
131,"PSU-03APR2021-11","PSU","PSU03APR2021_T16_Ny_NT","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,NA,"Trap 16","env",NA,NA,NA,"Wood",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Nymph","1","","no",NA,NA,NA,NA,NA
132,"PSU-03APR2021-12","PSU","PSU03APR2021_M_F2_NT","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,"LINESTRING (-94.8019147659231 37.3516777478345,-94.8009598069289 37.3515214818172)","Flag 2","env",NA,NA,NA,"Pasture",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Male","2","","no",NA,NA,NA,NA,NA
133,"PSU-03APR2021-12","PSU","PSU03APR2021_F2_Ny_NT","Amblyomma americanum","Morphology",3,"April",2021,"KS","Crawford","Crawford","3-Apr-21",37.35,-94.8,"LINESTRING (-94.8019147659231 37.3516777478345,-94.8009598069289 37.3515214818172)","Flag 2","env",NA,NA,NA,"Pasture",27.2,32,0.7,"78906",24.7,31.6,2.8,"2303",25.95,"31.8",1.75,"40604.5","Nymph","1","","no",NA,NA,NA,NA,NA
371,"PSU-18APR2021-01","PSU","PSU18APR2021_M_T1_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 1","env",NA,NA,NA,"Pasture",15.7,59.5,2.4,"21114",18.6,59,2.2,"25513",17.15,"59.25",2.3,"23313.5","Male","1","","no",NA,NA,NA,NA,NA
372,"PSU-18APR2021-01","PSU","PSU18APR2021_T1_Ny_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 1","env",NA,NA,NA,"Pasture",15.7,59.5,2.4,"21114",18.6,59,2.2,"25513",17.15,"59.25",2.3,"23313.5","Nymph","1","","no",NA,NA,NA,NA,NA
373,"PSU-18APR2021-02","PSU","PSU18APR2021_F_T2_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 2","env",NA,NA,NA,"Pasture",15.7,59.5,2.4,"21114",18.6,59,2.2,"25513",17.15,"59.25",2.3,"23313.5","Female","1","","no",NA,NA,NA,NA,NA
374,"PSU-18APR2021-03","PSU","PSU18APR2021_F_T3_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 3","env",NA,NA,NA,"Pasture",15.7,59.5,2.4,"21114",18.6,59,2.2,"25513",17.15,"59.25",2.3,"23313.5","Female","2","","no",NA,NA,NA,NA,NA
375,"PSU-18APR2021-03","PSU","PSU18APR2021_M_T3_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 3","env",NA,NA,NA,"Pasture",15.7,59.5,2.4,"21114",18.6,59,2.2,"25513",17.15,"59.25",2.3,"23313.5","Male","1","","no",NA,NA,NA,NA,NA
376,"PSU-18APR2021-04","PSU","PSU18APR2021_M_T4_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 4","env",NA,NA,NA,"Pasture",15.7,59.5,2.4,"21114",18.6,59,2.2,"25513",17.15,"59.25",2.3,"23313.5","Male","1","","no",NA,NA,NA,NA,NA
377,"PSU-18APR2021-05","PSU","PSU18APR2021_T10_Ny_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 10","env",NA,NA,NA,"Wood",17.2,50.6,1.6,"23754",17.8,45.5,1.9,"20304",17.5,"48.05",1.75,"22029","Nymph","1","","no",NA,NA,NA,NA,NA
378,"PSU-18APR2021-06","PSU","PSU18APR2021_F_T11_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 11","env",NA,NA,NA,"Wood",17.2,50.6,1.6,"23754",17.8,45.5,1.9,"20304",17.5,"48.05",1.75,"22029","Female","2","","no",NA,NA,NA,NA,NA
379,"PSU-18APR2021-06","PSU","PSU18APR2021_M_T11_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 11","env",NA,NA,NA,"Wood",17.2,50.6,1.6,"23754",17.8,45.5,1.9,"20304",17.5,"48.05",1.75,"22029","Male","1","","no",NA,NA,NA,NA,NA
380,"PSU-18APR2021-07","PSU","PSU18APR2021_F_T12_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 12","env",NA,NA,NA,"Wood",17.2,50.6,1.6,"23754",17.8,45.5,1.9,"20304",17.5,"48.05",1.75,"22029","Female","5","","no",NA,NA,NA,NA,NA
381,"PSU-18APR2021-07","PSU","PSU18APR2021_M_T12_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 12","env",NA,NA,NA,"Wood",17.2,50.6,1.6,"23754",17.8,45.5,1.9,"20304",17.5,"48.05",1.75,"22029","Male","2","","no",NA,NA,NA,NA,NA
382,"PSU-18APR2021-07","PSU","PSU18APR2021_T12_Ny_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 12","env",NA,NA,NA,"Wood",17.2,50.6,1.6,"23754",17.8,45.5,1.9,"20304",17.5,"48.05",1.75,"22029","Nymph","1","","no",NA,NA,NA,NA,NA
383,"PSU-18APR2021-08","PSU","PSU18APR2021_M_T13_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",17.2,50.6,1.6,"23754",17.8,45.5,1.9,"20304",17.5,"48.05",1.75,"22029","Male","1","","no",NA,NA,NA,NA,NA
384,"PSU-18APR2021-08","PSU","PSU18APR2021_T3_Ny_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 13","env",NA,NA,NA,"Wood",17.2,50.6,1.6,"23754",17.8,45.5,1.9,"20304",17.5,"48.05",1.75,"22029","Nymph","1","","no",NA,NA,NA,NA,NA
385,"PSU-18APR2021-09","PSU","PSU18APR2021_F_T15_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 15","env",NA,NA,NA,"Wood",17.2,50.6,1.6,"23754",17.8,45.5,1.9,"20304",17.5,"48.05",1.75,"22029","Female","3","","no",NA,NA,NA,NA,NA
386,"PSU-18APR2021-09","PSU","PSU18APR2021_M_T15_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 15","env",NA,NA,NA,"Wood",17.2,50.6,1.6,"23754",17.8,45.5,1.9,"20304",17.5,"48.05",1.75,"22029","Male","1","","no",NA,NA,NA,NA,NA
387,"PSU-18APR2021-10","PSU","PSU18APR2021_M_T16_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,NA,"Trap 16","env",NA,NA,NA,"Wood",17.2,50.6,1.6,"23754",17.8,45.5,1.9,"20304",17.5,"48.05",1.75,"22029","Male","1","","no",NA,NA,NA,NA,NA
388,"PSU-18APR2021-11","PSU","PSU18APR2021_F_F21_NT","Amblyomma americanum","Morphology",18,"April",2021,"KS","Crawford","Crawford","18-Apr-21",37.35,-94.8,"LINESTRING (-94.8020770977123 37.3514476226302,-94.8010851643135 37.3513074016786)","Flag 21","env",NA,NA,NA,"Pasture",15.7,59.5,2.4,"21114",18.6,59,2.2,"25513",17.15,"59.25",2.3,"23313.5","Female","1","","no",NA,NA,NA,NA,NA
166,"PSU-08AUG2021-01","PSU","PSU08AUG2021_T1_Ny_NT","Amblyomma americanum","Morphology",8,"August",2021,"KS","Crawford","Crawford","8-Aug-21",37.35,-94.8,NA,"Trap 1","env",NA,NA,NA,"Pasture",25.8,81,0.6,"20318",31.6,60.3,0.7,"38584",28.7,"70.65",0.65,"29451","Nymph","3","","no",NA,NA,NA,NA,NA
167,"PSU-08AUG2021-02","PSU","","Dermacentor variabilis","Morphology",8,"August",2021,"KS","Crawford","Crawford","8-Aug-21",37.35,-94.8,NA,"Trap 3","env",NA,NA,NA,"Pasture",25.8,81,0.6,"20318",31.6,60.3,0.7,"38584",28.7,"70.65",0.65,"29451","Female","1","","","","","","",NA
168,"PSU-08AUG2021-02","PSU","","Dermacentor variabilis","Morphology",8,"August",2021,"KS","Crawford","Crawford","8-Aug-21",37.35,-94.8,NA,"Trap 3","env",NA,NA,NA,"Pasture",25.8,81,0.6,"20318",31.6,60.3,0.7,"38584",28.7,"70.65",0.65,"29451","Male","1","","","","","","",NA
169,"PSU-08AUG2021-03","PSU","PSU08AUG2021_T5_Ny_NT","Amblyomma americanum","Morphology",8,"August",2021,"KS","Crawford","Crawford","8-Aug-21",37.35,-94.8,NA,"Trap 5","env",NA,NA,NA,"Pasture",25.8,81,0.6,"20318",31.6,60.3,0.7,"38584",28.7,"70.65",0.65,"29451","Nymph","1","","no",NA,NA,NA,NA,NA
170,"PSU-08AUG2021-03","PSU","","Dermacentor variabilis","Morphology",8,"August",2021,"KS","Crawford","Crawford","8-Aug-21",37.35,-94.8,NA,"Trap 5","env",NA,NA,NA,"Pasture",25.8,81,0.6,"20318",31.6,60.3,0.7,"38584",28.7,"70.65",0.65,"29451","Female","2","","","","","","",NA
171,"PSU-08AUG2021-03","PSU","","Dermacentor variabilis","Morphology",8,"August",2021,"KS","Crawford","Crawford","8-Aug-21",37.35,-94.8,NA,"Trap 5","env",NA,NA,NA,"Pasture",25.8,81,0.6,"20318",31.6,60.3,0.7,"38584",28.7,"70.65",0.65,"29451","Male","2","","","","","","",NA
172,"PSU-08AUG2021-04","PSU","PSU08AUG2021_F_T10_NT","Amblyomma americanum","Morphology",8,"August",2021,"KS","Crawford","Crawford","8-Aug-21",37.35,-94.8,NA,"Trap 10","env",NA,NA,NA,"Wood",23.4,85.6,0,"889",30.1,72.2,1.8,"9528",26.75,"78.9",0.9,"5208.5","Female","1","","no",NA,NA,NA,NA,NA
